cell,zoneID
13372,1
13373,1
13375,1
13376,1
13377,1
20768,1
20769,1
20771,1
20776,1
20777,1
20779,1
28160,1
28165,1
28166,1
28167,1
28171,1
28173,1
28174,1
28178,1
28194,1
28195,1
28197,1
28207,1
35554,1
35556,1
35564,1
35566,1
35567,1
35572,1
35574,1
35576,1
35577,1
35579,1
35580,1
35581,1
35582,1
35590,1
35591,1
35593,1
35606,1
42949,1
42956,1
42957,1
42960,1
42961,1
42962,1
42963,1
42964,1
42965,1
42968,1
42970,1
42973,1
42975,1
42978,1
42987,1
43002,1
50345,1
50353,1
50355,1
50357,1
50361,1
50363,1
50366,1
50370,1
50373,1
50374,1
57738,1
57751,1
57753,1
57754,1
57759,1
57760,1
57763,1
57765,1
57766,1
57771,1
57779,1
65117,1
65118,1
65119,1
65122,1
65123,1
65124,1
65128,1
65148,1
65149,1
65151,1
65152,1
65153,1
65154,1
65157,1
65158,1
65159,1
65161,1
65162,1
65165,1
65168,1
65170,1
65171,1
65172,1
65176,1
65182,1
65183,1
65185,1
65189,1
65190,1
65191,1
72431,1
72507,1
72508,1
72509,1
72511,1
72512,1
72520,1
72530,1
72543,1
72544,1
72547,1
72550,1
72555,1
72563,1
72567,1
72571,1
72578,1
72579,1
72584,1
72586,1
72587,1
72590,1
72592,1
72593,1
72594,1
72595,1
72597,1
72598,1
79825,1
79826,1
79903,1
79905,1
79906,1
79915,1
79917,1
79918,1
79919,1
79925,1
79932,1
79934,1
79938,1
79939,1
79942,1
79943,1
79947,1
79948,1
79949,1
79950,1
79952,1
79953,1
79955,1
79967,1
79974,1
79975,1
79976,1
79981,1
79990,1
79991,1
79993,1
79995,1
79997,1
80001,1
80003,1
80007,1
80008,1
87226,1
87227,1
87299,1
87300,1
87301,1
87302,1
87304,1
87305,1
87308,1
87309,1
87312,1
87314,1
87315,1
87319,1
87337,1
87338,1
87345,1
87348,1
87352,1
87354,1
87356,1
87357,1
87362,1
87363,1
87364,1
87365,1
87366,1
87367,1
87368,1
87369,1
87370,1
87375,1
87382,1
87383,1
87387,1
87389,1
87393,1
87399,1
87401,1
87404,1
87406,1
94602,1
94604,1
94614,1
94625,1
94697,1
94699,1
94701,1
94704,1
94706,1
94710,1
94713,1
94715,1
94724,1
94725,1
94727,1
94728,1
94729,1
94735,1
94738,1
94743,1
94745,1
94746,1
94755,1
94757,1
94758,1
94765,1
94773,1
94776,1
94777,1
94778,1
94779,1
94780,1
94781,1
94783,1
94785,1
94788,1
94790,1
94797,1
94799,1
101996,1
101997,1
102000,1
102005,1
102011,1
102015,1
102016,1
102022,1
102024,1
102034,1
102035,1
102036,1
102037,1
102043,1
102048,1
102052,1
102096,1
102119,1
102120,1
102122,1
102127,1
102128,1
102130,1
102132,1
102135,1
102136,1
102139,1
102157,1
102159,1
102165,1
102166,1
102172,1
102176,1
102177,1
102178,1
102179,1
102182,1
102186,1
102197,1
102198,1
102199,1
109394,1
109405,1
109407,1
109408,1
109411,1
109412,1
109413,1
109416,1
109422,1
109423,1
109427,1
109429,1
109436,1
109437,1
109438,1
109442,1
109445,1
109512,1
109515,1
109524,1
109526,1
109529,1
109554,1
109558,1
109559,1
109567,1
109568,1
109575,1
109578,1
109579,1
109581,1
109594,1
109599,1
116789,1
116792,1
116793,1
116795,1
116797,1
116798,1
116803,1
116807,1
116814,1
116817,1
116821,1
116822,1
116824,1
116826,1
116827,1
116830,1
116832,1
116833,1
116838,1
116842,1
116908,1
116913,1
116914,1
116917,1
116923,1
116925,1
116928,1
116951,1
116958,1
116960,1
116961,1
116966,1
116968,1
116970,1
116971,1
116973,1
116975,1
116976,1
116982,1
116998,1
124189,1
124195,1
124198,1
124202,1
124203,1
124204,1
124206,1
124208,1
124211,1
124212,1
124215,1
124216,1
124219,1
124228,1
124234,1
124238,1
124309,1
124310,1
124312,1
124314,1
124316,1
124318,1
124319,1
124321,1
124351,1
124352,1
124357,1
124361,1
124366,1
124367,1
124369,1
124372,1
124373,1
124374,1
124376,1
124384,1
124387,1
124392,1
124396,1
131584,1
131585,1
131609,1
131610,1
131615,1
131617,1
131620,1
131625,1
131627,1
131631,1
131709,1
131746,1
131748,1
131752,1
131758,1
131759,1
131762,1
131769,1
131770,1
131771,1
131774,1
